purview,name,cost,dice_pool,resistance,description,id,tier,action,duration,prerequisites,tags
Guardian,Ward,1 Legend + 1 Willpower,Stamina + Fortitude,—,The Scion bars specific threats from entering a warded area.,62634fe6-0483-454a-89ce-d40eed3651bb,1,,,[],[]
Darkness,Shadow Boxer,3 Legend/action,Manipulation + Brawl,—,Forces a target to attack themselves using their own Strength. Does not affect higher-Legend targets.,62cbbe75-9f44-4049-b190-58817fade738,1,,,[],[]
Animal,Epic Enhancement,(1 Willpower + 3 Legend) / (1 Willpower + 5 Legend),Intelligence + Animal Ken,—,"Enhances animals beyond natural limits, increasing Attributes, Epic Attributes or size. Each animal may only be enhanced once, but multiple upgrades may be purchased at once.",63c2c1c3-fd72-4905-808e-5fb43e0ed1a1,1,,,[],[]
War,Siege Juggernaut,10 Legend,None,—,Turns attacks into siege-scale strikes for one scene.,656c6564-77a5-402a-a8ac-1c75368272c5,1,,,[],[]
Death,Don’t Fear the Reaper,1 Legend,Charisma + Empathy,—,"Either grants allies serenity and Willpower or strips a target of fear of death, forcing Berserker Fury.",658b4b67-d091-42c2-9bde-c6a23e8438ef,1,,,[],[]
Time,Perfect Timing,None,None or Perception + Science,—,Always knows exact time and senses supernatural temporal distortions over distance.,661d3aa2-b2cd-4a43-a273-c77df8193f85,1,,,[],[]
Animal,Ride Animal,1 Legend,Intelligence + Animal Ken,Animal Intelligence (× Legend modifier for Nemean),"The Scion overwhelms an animal’s mind and controls its body for the scene. Works like Horse, but applies to animals. Birthright creatures may allow possession freely.",66427779-55dc-4ab9-8883-fe2495a17c33,1,,,[],[]
Water,Liquid Form,5 Legend + 1 Willpower,None,—,Transforms body into living water with extensive immunities and movement.,6686a663-05e5-409e-94ba-6c23739c13f6,1,,,[],[]
War,Read the Ranks,1 Legend,Perception + Politics,—,"Reveals enemy strategy, supply and commander stats unless resisted.",671c5872-61ae-4e4f-904f-4fd7e793d326,1,,,[],[]
Dream,The Sleeper (Avatar of Dream),—,None,—,Transforms the Scion into the Dormant Avatar whose dreams reshape reality.,68b4ee14-8ece-4c68-aff6-d05d7805ccca,1,,,[],[]
Sky,Cloud Body,10 Legend,None,—,"Transforms the Scion into living cloud, immune to physical damage but unable to exert physical force directly.",68db9a13-234e-4777-a6dc-1f234153888b,1,,,[],[]
War,Ríastrad,Varies,None,—,Triggers warpspasm activating multiple Boons/Knacks with extreme combat effects.,69426963-e2fc-4902-a699-50a13b5095aa,1,,,[],[]
Health,Bolster,1 Legend,Stamina + Medicine,—,"For each success, one target gains one temporary health level for the remainder of the scene. These levels do not overflow into normal damage.",697a7616-6e07-4dce-8b62-08d157e143a2,1,,,[],[]
Justice,Judgment,None,Perception + Empathy,—,Determines whether an accused target is guilty of a specific injustice. Success gives a true reading; failure is indeterminate for 24 hours; botch gives false reading. Not contested or modified.,69b75c86-726a-4402-ba6b-1f46094b2af9,1,,,[],[]
War,Battle Cry,1 Legend,Charisma + Presence,—,Inflicts dice penalties on enemy attacks for duration based on Legend.,69eef8c2-e5f3-477a-8c64-2b997ccf1c12,1,,,[],[]
Fertility,Green Thumb,1 Legend per plant/patch per year,,—,"Allows plants to survive indefinitely without water, sunlight, or nutrients.",6a05b1e9-d9a0-44a5-8274-29db1f3a6f22,1,,,[],[]
Justice,Law & Order,2+ Legend,Charisma + Command,—,Reduces or nullifies Chaos Boon effects by subtracting successes.,6a324e07-2b11-4b40-a284-99dd4042d6ee,1,,,[],[]
Guardian,Appropriated Vigil,1 or 5 Legend,Perception + Empathy,—,A God monitors Vigil Brands placed by his Scions or Fatebound.,6b567de0-1e37-42ed-ba9b-58f2927950b2,1,,,[],[]
Guardian,None Shall Pass,5 Legend,None,—,Allows reflexive counterattacks against those who attempt to pass or attack protected targets.,6b59f5e4-3991-4b50-aefd-52fe4dab8c3f,1,,,[],[]
Stars,Lucky Star,5 Legend,Perception + Awareness,—,Grants automatic successes for a chosen Ability for one week.,6b5d6aa2-f181-4ad5-8335-718cf5560ce5,1,,,[],[]
Guardian,None Shall Pass,5 Legend per use,Perception + Awareness,—,The Scion locks down an area against supernatural travel.,6b8da605-a31e-48ff-b161-38be20bf1e37,1,,,[],[]
Justice,Banish,(½ target Legend) Legend + 1 Willpower,Charisma + Command,—,Target is barred from a specified area; scale and duration depend on successes.,6c107b43-e902-4b44-b34a-111b1bda82b9,1,,,[],[]
Guardian,The Night Watch,1 Willpower,None,—,"The Scion keeps watch all night without fatigue, gaining Legend bonus successes and immunity to surprise.",6c918d5a-343f-4e43-98eb-570197b7dd2d,1,,,[],[]
Darkness,Shadow Craft,1 Willpower OR (1 Willpower + 1 Legend),Dexterity + Art,—,Allows reshaping shadows or creating solid shadow objects. Objects function normally and last based on Legend or scene duration.,6e93d2ca-33ac-474d-a2fa-665ef91f9cdb,1,,,[],[]
Earth,Rust / Shine,2 Legend,,—,Causes metal to rust or restores it to pristine condition.,6eea306a-a28e-49e4-9378-477dc15b28ed,1,,,[],[]
Sky,Divine Threnody,2 Legend,Intelligence + Art,—,"Dampens or amplifies sound, carries voices on the wind, or produces sonic effects. Does not function without air.",6f30b196-93bd-4185-8b23-1b426a3376b1,1,,,[],[]
Death,Command the Soul,5+ Legend + 1 Willpower,Charisma + Command,—,Temporarily enslaves undead creatures to obey the Scion’s commands.,6fdc151f-65c0-4d0b-8fc9-d579ea0cfd89,1,,,[],[]
Stars,Celestial Estate,5+ Legend,None,—,Grants ownership of a private divine estate in outer space.,70adac55-2826-4e2e-9c38-b7e2a07ddc62,1,,,[],[]
Psychopomp,Where Are You?,None,Intelligence + Awareness,—,Determines distance and direction of remote contact origin.,70c94381-c6f3-47eb-9968-2200d0744b5f,1,,,[],[]
Water,Changing States,1 Legend + 1 Willpower,Dexterity + Craft,—,"Changes water between liquid, ice, steam or fog.",7146a62b-3707-4058-b191-d2c93947b0a6,1,,,[],[]
Guardian,Confer Immunity,1 Willpower dot,None,—,The Scion grants a mortal an elemental immunity for years equal to Legend.,718ffa8c-8cd9-435f-a67c-b23458711178,1,,,[],[]
Health,Avatar of Health (The Savior / The Scourge),1 Willpower + 30 Legend,None,—,"For one scene, the Scion becomes an avatar of perfect healing or absolute pestilence.",71cbdab0-aa21-4f0b-a669-0f409db0c47c,1,,,[],[]
Moon,Smoking Mirror,1 Legend,None,—,Shows bird’s-eye view of surrounding terrain in miles equal to Legend; unusable at new moon.,71f3eabd-9f75-4a1f-9321-1749cc6a14d8,1,,,[],[]
Earth,Earth Body,1 Legend or 3 Legend + 1 Willpower,,—,"Transforms the Scion into living stone or metal, granting immense durability.",73755e94-6ef9-4fad-b5d5-a2a6b75adf0b,1,,,[],[]
Guardian,Appropriated Threshold,1 or 5 Legend,Perception + Empathy,—,A God monitors Warning Lines placed by his Scions or Fatebound.,73e2deca-0526-4cdc-a354-2fc48415e6a4,1,,,[],[]
Animal,Avatar of Animal (The Beast),1 Willpower + 30 Legend,,—,"For one scene, the Scion becomes a primordial apex predator. Animals obey absolutely; The Beast is unstoppable, unseen in ambush, and invulnerable to mortal weapons.",754346de-03e8-4e3c-8b52-ed019909f568,1,,,[],[]
Fire,Hellfire,5 Legend,None,—,"For the scene, all Fire Boons that deal damage inflict aggravated damage.",7841e3d6-6cc8-4b02-adb5-bea18b8cde7d,1,,,[],[]
Health,Hippocratic Oath / Vow of Pestilence,1 Willpower dot,None,—,"Permanently aligns the Scion with healing or pestilence, granting major bonuses and severe restrictions.",784bfbeb-c734-4689-93e3-285a4ca9c3ef,1,,,[],[]
Animal,Animal Feature,1 Willpower + 1 Legend per feature,Stamina + Animal Ken,—,"The Scion alters his anatomy to gain animal traits such as wings, claws, armor or climbing surfaces. Total bonuses cannot exceed Legend. Multiple features may be taken per activation based on successes.",79aed2fb-d385-45ab-b1db-4e069a03882f,1,,,[],[]
Death,Unquiet Corpse,1 Willpower + 1 Legend,Charisma + Command,—,Raises a corpse as a mindless zombie under the Scion’s control until destroyed or the Scion dies.,7b86f665-b837-4fe8-a98b-50bab662ce80,1,,,[],[]
Animal,The Beast Within,Permanent,None,—,"The Scion permanently incorporates a metaphysical trait of her totem animal, gaining permanent bonus dice to a chosen Attribute equal to its rating. This Attribute may no longer be enhanced by Animal Aspect. This Boon may only be taken once.",7bae62fd-e40b-4034-989c-a8155744a64a,1,,,[],[]
Stars,Spaceworthy,None,None,—,Grants immunity to vacuum and selected stellar radiation types.,7c5748ca-bb32-4858-8d7b-2b03b4a23f46,1,,,[],[]
Prophecy,It’s A Wonderful Life,1 permanent Willpower + 20 Legend,Intelligence + Occult,—,"Reveals plot developments that would occur without the Scion’s involvement, exposing hidden threats and plans.",7c749b92-2985-47d6-9fc1-7e61dbfb7930,1,,,[],[]
Health,Heal / Infect,1 Legend or 1 Willpower,Stamina + Medicine,—,Heals or inflicts bashing or lethal damage. Each target may only be affected once per day.,7ce47d9b-3079-409f-92fb-f5b4d532264e,1,,,[],[]
Innovation,Anticipation,10 Legend,None,—,Allows the Scion to undo and change an action after seeing its outcome.,7d4a9cbd-2c5c-4832-a27a-4460e1c98490,1,,,[],[]
Fire,Bolster Fire,1 Legend per scene,None,—,"The Scion removes the need for fuel and oxygen from a visible flame up to campfire size for one scene, or creates a candle-sized flame from nothing. The flame cannot cause combat damage but can ignite materials.",7f0ad299-d625-42a9-a3d5-42f82b3481bb,1,,,[],[]
Sun,Inexorable Gravity,5 or 10 Legend,Strength + Presence,—,"Creates inescapable gravitational pull affecting movement, knockback and orbit.",7f966f1b-6d7f-4046-8d68-a346f19cc110,1,,,[],[]
Sky,Perun’s Apples,10 Legend + 1 Willpower,Wits + Marksmanship,—,Creates and directs ball lightning causing aggravated damage in an area with lingering effects.,7fa38a57-7270-4fc5-ba15-15fd36aca109,1,,,[],[]
Justice,Shield of Righteousness,1 Legend + 1 Willpower,None,—,Negates a single unjust action that would harm an innocent person. Scion must be present; target must be innocent.,800bbb0a-581b-46b4-b6b4-6aa17c3ca1ed,1,,,[],[]
Earth,Root of the Mountain,1 Legend per use,,—,"The Scion becomes immovable while standing on earth, immune to knockback and knockdown.",8026d701-3706-4e8c-8a0c-12dd1e706d70,1,,,[],[]
Fertility,Twist Plants,2 Legend,Intelligence + Survival,—,"Reshapes plant life into bindings, shelters, or misleading terrain.",80f32d75-4806-47ba-a6d6-3818af1ac974,1,,,[],[]
Health,Resilience,2 Legend,Intelligence + Medicine,—,Targets heal at twice the normal rate for days (Legendary) or years (mortals) equal to successes. Does not stack with other healing modifiers.,81cc118f-4042-4d43-a69a-79b7473452b7,1,,,[],[]
Justice,Scarlet Letter,1 Legend + 1 Willpower,None,—,Marks guilty target visibly for years equal to Legend; may be made permanent by sacrificing Willpower.,821e475a-d487-439a-8ab8-54e043df2242,1,,,[],[]
Sound,Music of the Spheres,15 Legend + 1 Willpower,Perception + Empathy + Legend,—,Allows the Scion to hear cosmic harmony and gain bonus dice for the scene.,8317f5bc-b45c-48e0-a93d-e0939bfea56b,1,,,[],[]
Health,Salve,3 Legend + 1 Willpower,Intelligence + Medicine,Target’s total damage,"Shuts off pain and allows use of dying boxes as normal health levels for one scene, with lethal risk.",831e5c7c-34cc-4dd6-af61-3b705876fcd7,1,,,[],[]
Earth,Magma Control,10 Legend,Dexterity + Craft,—,Grants immunity to lava and allows its manipulation as a weapon.,84634bd9-1847-4c72-833e-de8da53473fe,1,,,[],[]
Frost,Hrimthurssar’s Touch,1 Willpower + 1 Legend,None,—,"The Scion’s touch radiates killing cold, adding bashing or lethal damage and freezing objects.",847f0754-2334-436f-95c5-4e42d6137213,1,,,[],[]
Innovation,Masterful Vector,3 Legend,Wits + Marksmanship,—,Allows precise control over area attacks from devices or Relics.,855f9273-20d2-4d83-aa46-cdacb80ef7ae,1,,,[],[]
Sound,Echolocation,None,None,—,Allows perfect navigation in darkness via sound waves; fails in vacuum or Silence.,8666e7fb-39d0-4f9c-9d6e-0f704a0e8c5d,1,,,[],[]
Frost,Frozen Fortress,4 Legend,Wits + Craft,—,Creates walls of solid ice that persist based on environmental conditions.,87b54df0-cc90-46d3-a027-50b9f7d78abc,1,,,[],[]
Darkness,Avatar of Darkness (The Abyss),1 Willpower + 30 Legend,,—,"For one scene, the Scion becomes The Abyss, extinguishing light and hope, blinding mortals and unnerving even Titans.",882a60fa-a2bb-4e86-9678-e26248da17fe,1,,,[],[]
Moon,Silver Blessing,1 Legend,None,—,Grants an item the properties of silver for the scene.,887e184d-e014-476f-b7bf-8c747442f8e1,1,,,[],[]
Innovation,Intellectual Property,1 Willpower + 10 Legend,Wits + Stealth,—,"Erases a fact from common knowledge, storing it as a secret.",8973a5ca-34ea-4f4b-b27d-56ae452a365d,1,,,[],[]
Stars,Cloak of Stars,15 Legend,Dexterity + Occult,—,Creates a stellar cloak granting immunity or DV bonuses against attacks.,89efbf13-2c7b-46bb-9ebc-cdddcb50b4fa,1,,,[],[]
Darkness,Shadow Boxer,3 Legend per attack,Manipulation + Brawl,—,"The target’s shadow attacks them directly, dealing unavoidable bashing damage equal to successes.",8aa4dba3-790c-4d4f-b030-5d92b2466064,1,,,[],[]
Animal,Faunaphagia,1 Willpower + 1 Legend,Stamina + Animal Ken,—,"The Scion eats meat from the appropriate animal and absorbs its essence. Successes indicate Ability dots borrowed (up to the animal’s rating, max total 5). Borrowed Abilities last for the rest of the scene.",8b83eae7-0760-4505-80fa-acf1c4332cd5,1,,,[],[]
Time,Grant Eternal Youth,5 Legend,Stamina + Survival,—,"Grants eternal youth; removal causes rapid aging, often fatal.",8bd9f3c8-1dfb-4710-8395-afe97496d6d2,1,,,[],[]
War,Blessing of Insight,None,None,—,Adds War Boons as automatic successes to Join Battle.,8c7ad091-1285-4348-af42-7bc54004ca36,1,,,[],[]
War,Banner Bearer,3 Legend,None,—,Followers gain automatic successes and DV bonuses while Scion is visible.,8d26d4f3-e39f-4538-8235-34d8de9b7b7a,1,,,[],[]
Emotion,Heart On My Sleeve,1 Willpower,None,—,"Publicly expresses a genuine emotion, granting Willpower changes and bonus dice to the Scion for emotion-aligned actions.",8d3e9ef4-da54-4c47-be7d-54aef2845e12,1,,,[],[]
Chaos,Instant Riot,1 Willpower + 5 Legend,Charisma + Presence,—,"On success, a riot erupts. Five people per success become violent and destructive. Riot lasts hours equal to the Scion’s Legend. Participants lose all Willpower for the following week.",8eb5e6c0-103d-4111-ae3a-8fa6199b8436,1,,,[],[]
Fire,Hearth’s Glow,1 Legend per Willpower restored,Charisma + Survival,—,Creates a hearth aura that protects against cold and restores Willpower to those who remain within the area.,8eee1158-92b6-4a4a-8928-b34e4145b792,1,,,[],[]
Sky,Create Air,5 Legend,Strength + Fortitude,—,Creates breathable air or releases explosive gusts of wind over a wide area.,90c24468-33c0-446d-9a0f-8a70e6519675,1,,,[],[]
Dream,Van Winkle’s Boon,None,None,—,"Grants extra health levels while sleeping, at the cost of temporary Legend on waking.",9193351d-42c3-4f25-bd5e-d067ac26b305,1,,,[],[]
Sky,Feel It in the Wind,1 Willpower,Perception + Survival,—,Extends Perception and Awareness senses to miles equal to activation successes.,91de9359-e65f-4bff-a8bf-72e41e763563,1,,,[],[]
Darkness,Strike Blind,5+ Legend,Wits + Medicine,—,Blinds targets by revealing the depths of darkness. Duration depends on relative Legend; mortals are blinded permanently.,920a0046-084c-4499-9f03-2dcfbe35a9b0,1,,,[],[]
Justice,Divine Enforcement,5+ Legend (+1 Willpower),Perception + Empathy,—,Grants complete knowledge of written laws and supernatural enforcement authority.,93131de7-de4d-4fa0-9529-adf6222ec194,1,,,[],[]
Guardian,Come Running,3 Legend,None,—,The Scion instantly appears at the side of a Vigil Branded charge in danger.,93e05646-146a-447c-8377-ff0680f21b19,1,,,[],[]
Sun,Heatstroke,1 Legend/use,Strength + Fortitude,—,Inflicts fatigue penalties as if exposed to extreme heat; −2 to all dice pools for hours equal to Sun Boons. Max twice per target.,94310351-585c-4acf-83cf-635f97eb2e67,1,,,[],[]
Water,Water Mastery,5 Legend,Dexterity + Craft,—,"Full manipulation of water, applying Strength through it.",948ea092-c279-4bf5-88a3-591090e8997f,1,,,[],[]
Stars,Portent,3 Legend,Perception + Occult,—,"Allows glimpses of past and future via the stars, aiding prophecy.",95717f10-7e0d-4204-bf18-222e5f8d75d5,1,,,[],[]
Chaos,Labyrinthine Lingering,5 Legend,Wits + Awareness,—,Creates supernatural disorientation at an intersection. All who enter lose sense of direction and exit randomly unless touching the Scion. Mortals have no defense; others may resist. Does not affect higher-Legend targets.,9598931c-adba-4717-852d-cb71dfa6f8df,1,,,[],[]
Chaos,Crawling Chaos,1 Willpower + 3 Legend,Wits + Empathy,—,A transmissible version of Paralyzing Confusion. Effects last one hour per Legend and spread to observers. Only equal or higher Legend characters may resist.,9638dc90-e244-4a9d-ac75-e53085b7b6ce,1,,,[],[]
War,Army of One,2 Legend/duplicate,Stamina + Command,—,Creates multiple duplicates acting in coordination for one scene.,966cd66c-2cfc-4e76-8b9e-01db381cc2a7,1,,,[],[]
Chaos,Hornet’s Nest,,Intelligence + Awareness,—,"On a successful activation roll, the Storyteller reveals in general terms what single action will either maximize chaos or defuse it in the current scene. The Storyteller explains which action leads to which outcome, not the reasoning behind it.",98c4c30c-7a62-4c3d-96d2-c6acd1034354,1,,,[],[]
Health,Virility / Muliebrity,3 Legend,Stamina + Medicine,—,Guarantees conception in the next eligible sexual encounter. Supernatural beings resist.,9a513b0a-e985-4e3d-a643-0e78379c0182,1,,,[],[]
Dream,Dreams Made Flesh,5 Legend + 1 Willpower,Perception + Integrity,—,Pulls physical objects from dreams into reality.,9aee96c7-75a3-4397-8d13-bd4f30b31788,1,,,[],[]
Stars,Aurora,3+ Legend,Appearance + Presence,—,"Surrounds the Scion in cosmic light, increasing Dodge and Parry DVs.",9b18eeab-393b-464f-a7ad-bbeb0b8312ef,1,,,[],[]
Prophecy,Friend or Foe,3 Legend (or 20 Legend + 1 Willpower),None or Perception + Empathy,—,"Determines whether a newly met character is destined to be a friend or enemy, granting permanent mechanical bonuses accordingly.",9b859489-dbec-4811-a6bf-f3b42c3c2eb9,1,,,[],[]
Illusion,Loaned Identity,5 Legend,Manipulation + Presence,—,"Disguises people, creatures or objects as something else, regardless of size.",9c3499a7-e7c6-4f7c-911d-1a4c6e575cd1,1,,,[],[]
Sound,Siren’s Song,2 Legend + 1 Willpower,Charisma + Art,—,Compels listeners to approach and remain near the Scion.,9c7a969c-4ab5-46d4-bc9c-ed31bf743677,1,,,[],[]
Moon,Tidal Interference,1 Legend per DV,Strength + Presence,—,Inflicts DV penalties on close-combat foes equal to Legend spent.,9d1d9bb6-653f-4cd4-afcd-ce8a9b97b98d,1,,,[],[]
Fire,Halo of Fire,2 Legend per use,Strength + Survival,—,"The Scion wreathes himself in flame for a scene, dealing extra lethal damage on contact or grapples; Fire Immunity negates the effect.",9d52daa8-65a5-463f-bbb9-3e5b766f0dc8,1,,,[],[]
Time,Ageless,None,None,—,Character ceases physical aging at current age and becomes immune to Age Category changes.,9ddab22c-8a53-4164-a50c-0839252f4b73,1,,,[],[]
Illusion,Avatar of Illusion (The Trickster),1 Willpower + 30 Legend,None,—,"For one scene, the Scion becomes the ultimate embodiment of deception.",9de6f1df-d535-4908-9335-7919b39de1a9,1,,,[],[]
Guardian,Avatar of Guardian (The Sentinel),1 Willpower + 30 Legend,None,—,"For one scene, the Scion becomes the Sentinel, the ultimate protector.",9eb8b637-643d-4028-a943-456f12104639,1,,,[],[]
Time,Erode,2 Legend,Manipulation + Science,—,"Ages inanimate objects, reducing Hardness and causing malfunctions.",9f02dd60-42a0-4302-82c0-17720e292823,1,,,[],[]
Fertility,Accelerate Growth,1–5 Legend,Stamina + Survival,—,Dramatically accelerates plant growth over large areas.,a084e718-50fc-40c0-baa4-552630357be5,1,,,[],[]
Fire,Hotter Than Hot,5 Legend,Wits + Control,—,"For one scene, the God’s Fire Boons ignore Fire Immunity and affect even fire-based beings.",a0d41ad0-fc5f-4953-a5aa-5fb452d0f108,1,,,[],[]
Innovation,Fire in the Belly,1 Willpower + 2 Legend/dot,Stamina + Fortitude,—,Temporarily increases Virtues for a day.,a13f5d9c-2fc6-4677-bd23-f959f69b3472,1,,,[],[]
Stars,Avatar of Stars (The Crown),1 Willpower + 30 Legend,None,—,"For one scene, the Scion becomes a cosmic sovereign of the heavens.",a15aec21-5949-4cee-b635-9dff58ba0e07,1,,,[],[]
Psychopomp,Co-Location,1 Willpower + 5 Legend per duplicate,None,—,Allows the God to exist in multiple places simultaneously.,a1ba908c-fc5d-4c8f-91e7-545a93e1de2b,1,,,[],[]
Innovation,Intuitive Adaptation,1 Legend,None,—,Extends Fundamental bonuses to all technological tasks for the scene.,a2c4d977-7838-4453-8e0f-32fae042b54a,1,,,[],[]
Illusion,Prince of Lies,5 Legend,Manipulation + Empathy,—,Makes the Scion immune to supernatural lie detection and coercive oaths.,a3091b51-3ea1-48f3-a45d-b5df5fb130ea,1,,,[],[]
Sky,Lightning Rod,1 Legend/person,None,—,Grants Electrical Immunity to another being for 24 hours.,a38dd6b6-d556-459a-b77b-f356c51f98be,1,,,[],[]
Sky,Levin Fury,3 Legend/attack,Wits + Marksmanship,—,Calls down or launches lightning bolts dealing massive lethal damage and knockback; can be parried by similar Boons.,a38e2c21-867b-442a-a796-2cca7a051c75,1,,,[],[]
Sun,Solar Prominence,3 Legend,Appearance + Presence,—,Disrupts electronic signals in radius for seconds equal to Legend; area moves with Scion.,a3d31a11-341d-4972-ac31-19c16d411f1f,1,,,[],[]
Fertility,Gaia’s Touch,1 Legend,,—,Allows movement through plants without leaving a trace and grants visions from plant spirits.,a5648cf7-ecb0-44d4-b20f-20cd4ec1f490,1,,,[],[]
Prophecy,Foretelling the Messiah,1 Willpower + variable Legend,None,—,"Declares a chosen PC or NPC as destined to solve a problem, granting automatic successes on a future roll. Only one Messiah may exist at a time.",a5c8da97-525e-4ec4-9e09-a032efeb497d,1,,,[],[]
Dream,Slipped From Dreams,6 Legend + 1 Willpower,None,—,Reality partially transforms into dream logic for a scene.,a6ea2a5d-6c7c-4ce7-8d36-7c48a37ec680,1,,,[],[]
Frost,Uller’s Stride,1 Legend,None,—,"The Scion glides on ice and snow, gaining movement bonuses and never losing traction.",a77a9102-746a-4e9e-b53a-3135fc819fef,1,,,[],[]
Health,Lingering Malaise,3 Legend + 1 Willpower,Charisma + Medicine,—,Makes wounds or illness nearly incurable. Permanent for mortals unless rescinded.,a92c3450-9365-418c-a440-43060b389eef,1,,,[],[]
Health,Human Clay,10 Legend,Dexterity + Medicine,—,Reshapes mortal flesh within human limits. Each success alters one feature.,a946b100-f010-4bfd-ae78-e95e3b639558,1,,,[],[]
Sound,Missive,1 Legend,Dexterity + Presence,—,Sends a short message to an attuned target regardless of distance.,ab26a107-6181-4ba8-a073-978ec390a5d1,1,,,[],[]
Emotion,Knotted Heartstrings,5 Legend + 1 Willpower,Manipulation + Empathy,—,"Imposes a precisely defined emotion on a target for days, with mechanical bonuses and penalties.",abffce58-bdbd-4ccc-8cc6-d180ac82a767,1,,,[],[]
Stars,Shooting Star,5 Legend,Perception + Marksmanship,—,Hurls a meteor from the heavens dealing massive lethal damage.,ac8b79de-7536-4ae5-9b4b-ed691955c7d1,1,,,[],[]
Water,Create Water,2 Legend,Stamina + Craft,—,Creates fresh or salt water from hands.,ad366913-a8ae-40cf-b95e-169531b7c904,1,,,[],[]
Fertility,Circle of Life,15 Legend + 2 Willpower,,—,Allows the Scion to regrow herself from a planted seed after death.,aecd8bfb-b82b-4778-a678-3a0f7f639ef8,1,,,[],[]
Fire,Rain of Fire,15 Legend,Charisma + Survival,—,"The God calls down a storm of fiery projectiles over a massive area, inflicting repeated lethal damage.",aede5c9e-0eb5-4651-89bb-a97449b5a46a,1,,,[],[]
Chaos,System Failure,15 Legend + 1 Willpower,Intelligence + Ability,—,"Causes catastrophic failure of entire systems, including mechanical, digital, or social structures. Repair follows Sabot rules.",af2dad82-ba61-4e93-a898-bcbbb0537012,1,,,[],[]
Justice,Guilt of the Damned,1 Legend,Perception + Empathy,—,"Target with lower Legend automatically, or contested otherwise, suffers −1 to all Virtues for the scene.",af44ca2d-b1e2-40a8-87ac-fa9d97f214df,1,,,[],[]
Time,Frozen Moment,5 Legend + 2 Willpower/person,Perception + Science,—,Removes targets from time for minutes equal to successes.,af89bbb4-3e7f-4733-8a88-53e78f93b246,1,,,[],[]
Illusion,False Pretenses,5 Legend,Wits + Presence,—,"Allows the Scion to assume any appearance or object, regardless of size.",b199cb4a-da78-41f1-8482-1739bb173e7d,1,,,[],[]
Dream,Is This Real Life?,None,None,—,Regains Willpower when actions cause others to question reality versus dream.,b1a029e0-31d1-433f-a616-992c811e27e6,1,,,[],[]
Sun,All-Seeing Eye,1 permanent Willpower,Perception + Investigation,—,"Grants double successes to pierce concealment, lies, illusions; Willpower dot refunded when ended.",b1c939c7-5759-4f47-8208-1fc1bf2987a9,1,,,[],[]
Fire,Control Fire,5+ Legend,Wits + Control,—,"The God shapes and commands large volumes of fire in three dimensions, creating fiery constructs for one scene.",b308a4c5-0343-4b62-94c2-410b4b1ccc68,1,,,[],[]
Animal,Animal Communication,,Intelligence + Animal Ken,—,"The Scion can understand and make himself understood by an animal as he speaks his native language and the animal responds with its own postures, scents and/or vocalizations. This Boon doesn’t make animals smart, calm or loyal, but most are curious enough about having a person address them that they’ll hear a Scion out before defaulting to aggression, panic or indifference.",b324d477-5b98-4501-bc59-21f81544cc22,1,,,[],[]
Sun,Life-Giving Rays,1 Legend,Charisma + Medicine,—,Halves healing times for living beings in range for hours equal to successes; ends if new damage is taken.,b37a8c46-905c-4a65-830b-2c7245f27784,1,,,[],[]
Death,Death Senses,,,—,"The Scion can see and perceive ghosts even when they have not manifested. She may also determine the general cause of death of a corpse, receiving a conclusive but generic answer unaffected by misleading evidence.",b4254fa7-41b3-4b61-aaf6-2fc104befef6,1,,,[],[]
Earth,Earth Travel,1 Legend,,—,"Allows movement through earth like swimming, subject to suffocation limits.",b4384fcc-f205-4cda-84d5-e7cb17eaac98,1,,,[],[]
Sound,Attunement,1 Legend,Legend + Empathy,—,Creates a sympathetic vibration allowing targeting of attuned subjects at any distance unless Silence intervenes.,b43bd008-873b-4717-982d-7dffd3c65d0c,1,,,[],[]
Water,Fluid Motion,1 Legend,None,—,Negates underwater penalties; causes penalties on land until ended.,b4fa9e5d-fbc8-40c0-ab09-530f3e849549,1,,,[],[]
Earth,Quicksand,2 Legend per use,Manipulation + Survival,—,Creates deadly quicksand that immobilizes and can suffocate victims.,b5950c8a-3ba7-43ab-ac78-416590cdc361,1,,,[],[]
Water,Desiccate,1 Legend + 1 Willpower,Strength + Medicine,—,Inflicts lethal damage by draining bodily water.,b682222f-3a47-41f5-bd07-b62339e1f0b1,1,,,[],[]
Animal,Animal Command,1 Willpower,Charisma + Animal Ken,—,"The Scion spends one Willpower and names one task that the animal must perform. The task cannot seem suicidal or impossible to the animal, but the animal cannot balk at an order that doesn’t immediately seem so. Orders may describe a single immediate action or one conditional task. Without Animal Communication, commands are delivered only via simple nonverbal signals.",b6db5c48-a1f0-4379-a212-6e5e1c6b5349,1,,,[],[]
Prophecy,Negative Prophecy,1 Willpower + 15 Legend,None,—,"Declares that a specific outcome will not occur, massively increasing difficulty for anyone attempting to cause it.",b81c5307-27cb-4962-a146-d73f0c6635b7,1,,,[],[]
Psychopomp,Unbarred Entry,1 Legend,None,—,Step through solid barriers as a simple action.,b8bae321-04f5-44e5-be02-91e10cd087f2,1,,,[],[]
War,Morale Failure,1 Legend/5 troops,Manipulation + Presence,—,Prevents enemy troops from attacking Scion-led forces.,ba26a386-0f77-4a5f-ab1a-011b4bccc87b,1,,,[],[]
